id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err,airmass
Auto_1532,4530.89,1442.26,4530.99,1442.28,144.80421,44.56854,09h39m13.01s,+44d34m06.8s,70.0,815.000,887.301,189.132,4.69,-7.370,0.231,16.326,0.257,1.1095
Auto_1533,1210.28,1638.72,1210.27,1638.70,143.36175,43.81843,09h33m26.82s,+43d49m06.4s,95.0,814.000,1066.267,188.014,5.67,-7.570,0.191,16.127,0.222,1.1095
Auto_1534,5241.60,1817.31,5241.65,1817.41,145.23583,44.59023,09h40m56.60s,+44d35m24.8s,60.0,813.000,874.611,188.787,4.63,-7.355,0.234,16.342,0.260,1.1095
Auto_1535,5842.65,2438.85,5842.80,2438.77,145.68571,44.50757,09h42m44.57s,+44d30m27.3s,59.0,813.000,976.657,188.853,5.17,-7.474,0.210,16.222,0.238,1.1095
Auto_1536,4922.48,3423.24,4922.71,3423.39,145.54194,44.00127,09h42m10.07s,+44d00m04.6s,64.0,810.000,968.253,189.341,5.11,-7.465,0.212,16.231,0.240,1.1095
Auto_1537,427.51,1768.79,427.43,1768.76,143.05271,43.61265,09h32m12.65s,+43d36m45.5s,99.0,805.000,1024.075,188.200,5.44,-7.526,0.200,16.171,0.229,1.1095
Auto_1538,6223.11,2285.74,6223.29,2285.74,145.81658,44.63334,09h43m15.98s,+44d38m00.0s,55.0,804.000,907.300,189.816,4.78,-7.394,0.227,16.302,0.253,1.1095
Auto_1539,3966.44,2373.00,3966.39,2373.07,144.81286,44.15054,09h39m15.09s,+44d09m01.9s,64.0,802.000,976.260,188.097,5.19,-7.474,0.209,16.223,0.237,1.1095
Auto_1540,4626.74,128.03,4626.82,128.01,144.46904,45.01433,09h37m52.57s,+45d00m51.6s,68.0,802.000,930.479,188.244,4.94,-7.422,0.220,16.275,0.247,1.1095
Auto_1541,4700.59,1078.62,4700.80,1078.58,144.77744,44.72129,09h39m06.59s,+44d43m16.6s,64.0,802.000,996.911,188.647,5.28,-7.497,0.205,16.200,0.234,1.1095
Auto_1542,1919.80,745.07,1919.86,745.05,143.41902,44.25465,09h33m40.57s,+44d15m16.7s,80.0,802.000,1086.659,187.527,5.79,-7.590,0.187,16.106,0.218,1.1095
Auto_1543,4953.02,56.02,4953.11,55.92,144.59791,45.10406,09h38m23.50s,+45d06m14.6s,70.0,801.000,941.693,188.948,4.98,-7.435,0.218,16.262,0.245,1.1095
Auto_1544,3397.29,439.14,3397.35,439.11,143.99781,44.66104,09h35m59.48s,+44d39m39.7s,90.0,800.000,1079.770,188.583,5.73,-7.583,0.190,16.113,0.220,1.1095
Auto_1545,3823.50,1255.42,3823.62,1255.39,144.42808,44.48466,09h37m42.74s,+44d29m04.8s,69.0,800.000,1044.872,188.461,5.54,-7.548,0.196,16.149,0.226,1.1095
Auto_1546,628.43,1763.62,628.38,1763.64,143.13992,43.65643,09h32m33.58s,+43d39m23.1s,89.0,799.000,1058.776,187.470,5.65,-7.562,0.192,16.134,0.223,1.1095
Auto_1547,2247.36,2027.60,2247.41,2027.59,143.93778,43.90899,09h35m45.07s,+43d54m32.4s,74.0,797.000,1179.435,188.296,6.26,-7.679,0.173,16.017,0.207,1.1095
