ra_deg,dec_deg,b_inst,v_inst,b_cat,v_cat,color_inst,color_cat,diff_b,diff_v
143.86365,43.13534,-10.159389999999998,-10.9839,13.894198494681158,13.283628890629391,0.8245100000000019,0.6105696040517667,24.053588494681158,24.267528890629393
144.65426,44.43589,-10.149389999999999,-11.0839,13.864784649633803,13.163227220166009,0.9345100000000013,0.701557429467794,24.0141746496338,24.247127220166007
143.04803,43.83486,-10.184389999999999,-11.0539,13.88198345792749,13.235484329996217,0.8695100000000018,0.6464991279312731,24.06637345792749,24.289384329996217
143.01183,44.19374,-10.184389999999999,-11.4619,13.87698127336573,12.841265806340816,1.2775100000000013,1.0357154670249145,24.06137127336573,24.303165806340814
144.04918,43.43156,-10.100389999999999,-11.0419,13.939004657341066,13.233205820285766,0.941510000000001,0.7057988370552994,24.039394657341063,24.275105820285766
145.35696,44.13008,-10.175389999999998,-10.9339,13.849340964552248,13.318885315300781,0.7585100000000011,0.5304556492514667,24.024730964552248,24.25278531530078
144.03847,44.65226,-10.12139,-11.0819,13.926330295517822,13.19507092859607,0.9605099999999993,0.7312593669217513,24.04772029551782,24.27697092859607
144.1929,44.28512,-10.085389999999999,-11.3349,13.978415069293463,12.943776142263669,1.2495100000000008,1.0346389270297944,24.063805069293462,24.27867614226367
143.81122,44.44074,-10.120389999999999,-10.9299,13.92806177110743,13.34071283163989,0.8095100000000013,0.5873489394675406,24.04845177110743,24.270612831639887
144.56165,43.67676,-10.06339,-10.8659,13.971754934228272,13.39073404793103,0.8025099999999998,0.5810208862972424,24.03514493422827,24.25663404793103
144.05096,44.85131,-10.136389999999999,-10.937899999999999,13.91220364016114,13.332237764270017,0.8015100000000004,0.5799658758911228,24.048593640161137,24.270137764270018
144.76643,44.86172,-10.11839,-10.7999,13.941933436299806,13.452481676625489,0.6815099999999994,0.4894517596743171,24.060323436299804,24.25238167662549
145.51407,43.71348,-10.07139,-10.7349,13.974235972267822,13.51102961213269,0.6635100000000005,0.46320636013513194,24.04562597226782,24.24592961213269
143.28481,43.88994,-10.06339,-10.8849,13.999406149884278,13.384612659921142,0.82151,0.6147934899631355,24.062796149884278,24.26951265992114
144.12745,44.34178,-10.03839,-11.1059,14.026510479351565,13.15365678577588,1.0675100000000004,0.872853693575685,24.064900479351564,24.259556785775878
143.4076,44.40042,-10.053389999999998,-11.0769,14.036140275586922,13.205961478417478,1.0235100000000017,0.8301787971694434,24.08953027558692,24.28286147841748
