file,jd,hjd,airmass,mag,mag_err,snr,zp_avg,zp_err,n_ensemble,flag
corr_Master_L_AE_00048.fits,2461142.40298303,2461142.4047064055,1.13403087568353,11.333966998489812,0.010314946961510708,429.22329091678307,24.72549078363931,0.01,1,OK
corr_Master_L_AE_00049.fits,2461142.404377553,2461142.4061008138,1.13660335990012,11.36741610673252,0.010328136179874159,420.372210285272,24.72945632226091,0.01,1,OK
corr_Master_L_AE_00050.fits,2461142.4057719507,2461142.4074950973,1.13925407666336,11.37116442563032,0.010328675800416203,420.0214097874322,24.728981457889887,0.01,1,OK
corr_Master_L_AE_00051.fits,2461142.4071667343,2461142.4088897663,1.14195497206739,11.363857145313867,0.010324344616632968,422.8615678862078,24.695485803291156,0.01,1,OK
corr_Master_L_AE_00052.fits,2461142.4085614095,2461142.4102843264,1.14462649253615,11.392734341165104,0.010340301405501587,412.66655684558026,24.699178187062646,0.01,1,OK
corr_Master_L_AE_00053.fits,2461142.4099559775,2461142.41167878,1.14737142391558,11.404551796505341,0.010359810572735568,401.1308012585482,24.715759975645742,0.01,1,OK
corr_Master_L_AE_00054.fits,2461142.411350216,2461142.4130729036,1.15017573854455,11.406799060840253,0.010336164221666742,415.2403736029905,24.705398710172965,0.01,1,OK
corr_Master_L_AE_00055.fits,2461142.41274463,2461142.4144672034,1.15298977563683,11.437270378074983,0.010357392570214598,402.50937684532573,24.722384290302543,0.01,1,OK
corr_Master_L_AE_00056.fits,2461142.41413912,2461142.4158615787,1.15586816055558,11.412802847833325,0.010381898096901957,389.14708156725436,24.662316636201773,0.01,1,OK
corr_Master_L_AE_00057.fits,2461142.415533927,2461142.417256271,1.15877053032688,11.441066094471632,0.01035847232191245,401.8920639984021,24.721531211156062,0.01,1,OK
corr_Master_L_AE_00058.fits,2461142.416928757,2461142.418650986,1.16175090971881,11.441296722086179,0.01034073287905337,412.40081807024285,24.71360583082208,0.01,1,OK
corr_Master_L_AE_00059.fits,2461142.4183233064,2461142.420045421,1.16472751403994,11.447494602365618,0.010385062593734068,387.5146692501945,24.696630137671832,0.01,1,OK
corr_Master_L_AE_00060.fits,2461142.419717879,2461142.421439879,1.16778037547144,11.464752329447666,0.01037650441690678,391.976434922701,24.732613470988465,0.01,1,OK
corr_Master_L_AE_00061.fits,2461142.421112492,2461142.4228343777,1.17084344466233,11.45597876428249,0.0103899888646817,385.0128637953882,24.69839670794964,0.01,1,OK
corr_Master_L_AE_00062.fits,2461142.422507292,2461142.4242290626,1.17399744857095,11.467570236796051,0.010403378678734799,378.44460922361714,24.664586356996338,0.01,1,OK
corr_Master_L_AE_00063.fits,2461142.423901522,2461142.425623178,1.17713747941801,11.479159094967537,0.01042443958607682,368.74557901696744,24.686268605870627,0.01,1,OK
corr_Master_L_AE_00064.fits,2461142.4252952193,2461142.4270167607,1.180372436726,11.469834096429933,0.01044247230590886,360.9940817237779,24.655652027616792,0.01,1,OK
corr_Master_L_AE_00065.fits,2461142.4266894925,2461142.428410919,1.18361464670332,11.468358082925022,0.010406829147424688,376.8044675526786,24.679605969668245,0.01,1,OK
corr_Master_L_AE_00066.fits,2461142.42808382,2461142.429805132,1.1869258151856,11.474657094921678,0.010388224661586539,385.90337121551175,24.70727701845711,0.01,1,OK
corr_Master_L_AE_00067.fits,2461142.429478347,2461142.431199544,1.19026387331351,11.465222441574081,0.01037230142812003,394.2234370891487,24.717311526053464,0.01,1,OK
corr_Master_L_AE_00068.fits,2461142.430873033,2461142.432594116,1.19366849241405,11.447562258458737,0.010329110029355725,419.7397465769659,24.735870140051404,0.01,1,OK
corr_Master_L_AE_00069.fits,2461142.4322673995,2461142.4339883677,1.197090247799,11.449298404952836,0.010358162667123081,402.06881507370537,24.720988941066324,0.01,1,OK
corr_Master_L_AE_00070.fits,2461142.433662052,2461142.435382905,1.20059412233758,11.449816243737159,0.010350510331324852,406.5105057621513,24.730866636034342,0.01,1,OK
corr_Master_L_AE_00071.fits,2461142.4350567563,2461142.436777495,1.20410001660637,11.426245775785729,0.010337027770392708,414.69925325927267,24.72324960760473,0.01,1,OK
corr_Master_L_AE_00072.fits,2461142.4364512158,2461142.43817184,1.20769098584269,11.41430988510204,0.010325081399903435,422.3744413749649,24.729197932615307,0.01,1,OK
corr_Master_L_AE_00073.fits,2461142.4378456883,2461142.4395661973,1.21128223273808,11.39751650818943,0.010344515894649456,410.0922160875884,24.704010620155156,0.01,1,OK
corr_Master_L_AE_00074.fits,2461142.439240421,2461142.440960815,1.21497870335797,11.384503658630704,0.01037703576012781,391.6950313113049,24.690392797881685,0.01,1,OK
corr_Master_L_AE_00075.fits,2461142.4406349324,2461142.442355212,1.2186757543998,11.348075677801491,0.010403007068860451,378.62249749581326,24.651636962140927,0.01,1,OK
corr_Master_L_AE_00076.fits,2461142.4420288843,2461142.443749049,1.22244465191838,11.30657292139067,0.010366842595684989,397.1989625340028,24.630783646937374,0.01,1,OK
corr_Master_L_AE_00077.fits,2461142.443423179,2461142.4451432293,1.22625127468282,11.256494893429435,0.010384688274028926,387.70671800825465,24.63523951309395,0.01,1,OK
corr_Master_L_AE_00078.fits,2461142.444817665,2461142.4465376004,1.2301275043897,11.198193133203615,0.010321843674709572,424.5274681497201,24.655556278163324,0.01,1,OK
corr_Master_L_AE_00079.fits,2461142.4462124123,2461142.4479322326,1.23401547927948,11.158427593945936,0.010304390719900084,436.7160497190256,24.688550692194823,0.01,1,OK
corr_Master_L_AE_00080.fits,2461142.447606173,2461142.449325879,1.23800004458161,11.087221468767043,0.010257299089672144,475.55411372553164,24.69259835986812,0.01,1,OK
corr_Master_L_AE_00081.fits,2461142.4490008503,2461142.4507204415,1.24200652360004,11.026229767730035,0.010252912034221445,479.71285028557674,24.694771258498246,0.01,1,OK
corr_Master_L_AE_00082.fits,2461142.450395209,2461142.4521146854,1.24609190049311,10.967210329744258,0.010241258190876753,491.3037195424714,24.684994206237562,0.01,1,OK
corr_Master_L_AE_00083.fits,2461142.4517896646,2461142.453509026,1.25017724763505,10.954328023378356,0.01023627363310559,496.52021699152596,24.699906666558874,0.01,1,OK
corr_Master_L_AE_00084.fits,2461142.4531841143,2461142.454903361,1.25429590187424,10.930461727946248,0.010225940050629686,507.8773783736734,24.708919483800376,0.01,1,OK
corr_Master_L_AE_00085.fits,2461142.4545787945,2461142.4562979266,1.25856113825134,10.932950232756811,0.010223302546644136,510.901244162287,24.70186084624241,0.01,1,OK
corr_Master_L_AE_00086.fits,2461142.4559731255,2461142.4576921426,1.26285777987163,10.95181589947235,0.01020980353920261,527.2570396542669,24.724596250211007,0.01,1,OK
corr_Master_L_AE_00087.fits,2461142.4573679133,2461142.459086816,1.26714753384336,10.975317312309466,0.010221324286377126,513.2045576134925,24.727217921213825,0.01,1,OK
corr_Master_L_AE_00088.fits,2461142.4587622867,2461142.460481074,1.27146544204314,10.997643035386124,0.010221887611019416,512.5455467520625,24.722127701335047,0.01,1,OK
