id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err,airmass,is_variable
Auto_028,2674.50,2945.69,2674.45,2945.73,144.40281,43.70344,09h37m36.67s,+43d42m12.4s,15413.0,116492.000,132060.609,358.196,368.68,-12.802,0.003,10.880,0.038,1.0554,No
Auto_029,3307.21,683.91,3307.21,683.91,144.03931,44.56678,09h36m09.43s,+44d34m00.4s,17867.0,115928.000,133243.515,358.363,371.81,-12.812,0.003,10.870,0.038,1.0554,No
Auto_030,5230.61,2075.05,5230.59,2075.08,145.31438,44.50676,09h41m15.45s,+44d30m24.4s,15883.0,115491.000,141843.834,370.436,382.91,-12.880,0.003,10.802,0.038,1.0554,No
Auto_031,993.30,1721.33,993.32,1721.36,143.30033,43.75065,09h33m12.08s,+43d45m02.4s,14013.0,110358.000,126062.808,348.865,361.35,-12.751,0.003,10.930,0.038,1.0554,No
Auto_032,4112.95,3495.13,4112.96,3495.14,145.20568,43.81782,09h40m49.36s,+43d49m04.1s,15033.0,101878.000,117548.169,343.827,341.88,-12.676,0.003,11.006,0.038,1.0554,No
Auto_033,3034.63,2761.17,3034.58,2761.22,144.51238,43.83720,09h38m02.97s,+43d50m13.9s,13739.0,95266.000,110699.234,334.907,330.54,-12.610,0.003,11.071,0.038,1.0554,No
Auto_034,5701.67,398.48,5701.74,398.45,145.05227,45.14701,09h40m12.54s,+45d08m49.2s,9867.0,93822.000,124696.259,351.624,354.63,-12.740,0.003,10.942,0.038,1.0554,No
Auto_035,4927.17,3970.20,4927.23,3970.27,145.70533,43.82647,09h42m49.28s,+43d49m35.3s,11533.0,92214.000,112922.443,337.127,334.96,-12.632,0.003,11.050,0.038,1.0554,No
Auto_036,5866.27,3856.57,5866.26,3856.64,146.09899,44.05060,09h44m23.76s,+44d03m02.2s,9377.0,91570.000,112238.396,337.751,332.31,-12.625,0.003,11.057,0.038,1.0554,No
Auto_037,3468.36,972.91,3468.36,972.92,144.19618,44.50655,09h36m47.08s,+44d30m23.6s,12163.0,80250.000,92665.164,309.675,299.23,-12.417,0.004,11.265,0.038,1.0554,No
Auto_038,1688.11,3488.01,1688.12,3488.02,144.11590,43.32518,09h36m27.82s,+43d19m30.6s,11080.0,73813.000,83282.583,296.790,280.61,-12.301,0.004,11.380,0.038,1.0554,No
Auto_039,3314.38,1562.21,3314.38,1562.24,144.29616,44.28388,09h37m11.08s,+44d17m02.0s,11267.0,73116.000,83277.602,298.069,279.39,-12.301,0.004,11.381,0.038,1.0554,No
Auto_040,4166.91,1567.15,4166.92,1567.16,144.68490,44.45693,09h38m44.38s,+44d27m24.9s,9102.0,67049.000,76507.135,288.191,265.47,-12.209,0.004,11.473,0.038,1.0554,No
Auto_041,6144.60,48.14,6144.69,48.15,145.15540,45.34896,09h40m37.30s,+45d20m56.3s,6150.0,66915.000,83424.684,299.797,278.27,-12.303,0.004,11.379,0.038,1.0554,No
Auto_042,1754.90,1328.50,1754.86,1328.53,143.52599,44.03619,09h34m06.24s,+44d02m10.3s,9598.0,66852.000,76287.108,286.234,266.52,-12.206,0.004,11.476,0.038,1.0554,Yes
Auto_043,6068.80,2532.35,6068.86,2532.35,145.82524,44.52457,09h43m18.06s,+44d31m28.4s,6756.0,65729.000,79735.158,293.314,271.84,-12.254,0.004,11.428,0.038,1.0554,No
Auto_044,6209.33,358.23,6209.38,358.19,145.27435,45.26138,09h41m05.84s,+45d15m41.0s,6071.0,62505.000,79170.353,293.102,270.11,-12.246,0.004,11.435,0.038,1.0554,No
Auto_045,3889.46,1033.42,3889.48,1033.37,144.40522,44.57348,09h37m37.25s,+44d34m24.5s,7241.0,60762.000,75790.441,287.765,263.38,-12.199,0.004,11.483,0.038,1.0554,No
Auto_046,4179.76,966.06,4179.78,965.95,144.51817,44.65475,09h38m04.36s,+44d39m17.1s,6698.0,60611.000,74278.188,285.803,259.89,-12.177,0.004,11.505,0.038,1.0554,No
Auto_047,390.00,1834.30,390.02,1834.32,143.06625,43.58817,09h32m15.90s,+43d35m17.4s,7085.0,56706.000,66295.379,273.450,242.44,-12.054,0.004,11.628,0.038,1.0554,No
Auto_048,21.25,340.00,21.24,340.01,142.46831,43.98837,09h29m52.40s,+43d59m18.1s,5218.0,55811.000,69512.150,279.390,248.80,-12.105,0.004,11.577,0.038,1.0554,No
Auto_049,2893.50,1964.50,2893.51,1964.51,144.22135,44.06675,09h36m53.12s,+44d04m00.3s,7184.0,55566.000,63224.667,268.181,235.75,-12.002,0.005,11.680,0.038,1.0554,Yes
Auto_050,1963.50,2215.88,1963.53,2215.84,143.87552,43.79314,09h35m30.12s,+43d47m35.3s,7747.0,54883.000,61510.625,265.180,231.96,-11.972,0.005,11.709,0.038,1.0554,No
Auto_051,3797.92,1383.97,3797.91,1383.97,144.46445,44.44101,09h37m51.47s,+44d26m27.6s,8198.0,51814.000,58792.246,262.127,224.29,-11.923,0.005,11.759,0.038,1.0554,No
Auto_052,3339.95,3948.09,3339.95,3948.09,144.98393,43.51369,09h39m56.14s,+43d30m49.3s,8017.0,49887.000,56300.322,258.753,217.58,-11.876,0.005,11.806,0.038,1.0554,No
Auto_053,5340.62,3316.90,5340.66,3316.88,145.71207,44.12281,09h42m50.90s,+44d07m22.1s,5543.0,47294.000,55449.417,258.326,214.65,-11.860,0.005,11.822,0.038,1.0554,No
Auto_054,2872.76,2699.07,2872.76,2699.06,144.42185,43.82416,09h37m41.24s,+43d49m27.0s,7452.0,46758.000,51904.327,248.455,208.91,-11.788,0.005,11.894,0.038,1.0554,No
