id,ra_deg,dec_deg,V_mag,B_mag
online_83,144.24862692,44.14945126,14.39584526377086,15.174044206897202
online_84,144.19859528,44.14804088,15.878598217632263,16.775983757154336
online_85,144.21092254,44.1532713,16.984494758364743,18.28604634657968
online_86,144.35261349,44.02514665,17.920198709549897,18.876641546655172
online_87,144.36892119,44.02122027,11.345637188080717,11.890274746808105
online_88,144.36485464,44.06034596,17.92517306194763,18.479665858017107
online_89,144.42269904,44.09461705,17.77525791066821,18.224964998697686
online_90,144.4155223,44.12679314,16.33049675607852,17.645120966340638
online_91,144.43358391,44.14331118,16.49476506145019,17.496337757934814
online_92,144.43953035,44.12761877,13.779963044301331,14.609662720897541
online_93,144.33908288,44.12930324,16.253134478792315,17.170917074320755
online_94,144.4579702,44.16047223,12.549392541717406,13.031170596777976
online_95,144.48050389,44.17848553,17.47648480788693,18.929053110774564
online_96,144.58128628,44.20999494,17.666676955181398,18.222267968563266
online_97,144.57757573,44.21512868,15.185471043948365,16.01870615400696
online_98,144.43226144,44.16844386,13.916504808865938,14.426321701643541
online_99,144.44013544,44.15880472,15.970778408367188,16.55500126050785
online_100,144.44562367,44.19384828,14.624984130133699,15.27165001092057
online_101,144.46132284,44.1746525,12.395557437854738,13.271450254842534
online_102,144.48672514,44.2154368,17.470896302633175,18.589187394481925
online_103,144.48325032,44.21905319,8.312000159663118,9.667361022910924
online_104,144.50630254,44.20917014,17.700975333706666,19.179136339736942
online_105,144.50112755,44.282214,17.806997735810423,18.45816484414747
online_106,144.52201141,44.27176207,12.460677587372924,13.403791616303103
online_107,144.31091692,44.15626749,16.035250151634216,16.77525125026718
online_108,144.35547634,44.18189389,12.85797472006572,13.360220390587097
online_109,144.37877358,44.18968721,17.30040326954541,18.103102157424438
online_110,144.28340037,44.17696759,17.863812240600588,18.902312240600587
online_111,144.29703437,44.20996959,17.883470115795255,19.373797943394766
online_112,144.28092047,44.20124681,16.459493106259487,17.879902852627584
online_113,144.27851782,44.2404759,15.763225161378815,16.736689686787305
online_114,144.27907368,44.24063274,15.434381312151459,16.536355025883694
online_115,144.31382265,44.23356691,15.960865508856992,17.046577425157963
online_116,144.33353854,44.22882377,14.186261645961427,14.930871999587417
online_117,144.30999878,44.26163564,17.028870863899414,18.668699470395513
online_118,144.31692159,44.24942107,13.926589243033602,14.81918857986832
online_119,144.44319479,44.27138123,13.01241381794452,13.819795631337637
online_120,144.3861704,44.24119186,16.255681110547,17.201215219964
online_121,144.42968891,44.30064711,14.921921869687926,15.732819963794974
online_122,144.43687636,44.29902235,15.893854105816528,16.500257303870242
online_123,144.08185094,44.08943713,17.320735734809297,17.765128076089333
online_124,144.08465152,44.0951054,13.23124414508281,13.805530112181335
online_125,144.10457962,44.09899424,16.196522002545215,16.85557677865349
online_126,144.07322432,44.12481255,17.57747050218152,18.078635472057574
online_127,144.03826441,44.1245114,14.539236457381563,15.111318040425267
online_128,144.0452165,44.1663126,16.0338546152832,17.109584294189702
online_129,144.09628034,44.12981062,17.192335547858153,17.79317999963765
online_130,144.11550342,44.1407166,14.489312095642092,14.95181209564209
online_131,144.13941914,44.15484052,15.31125286135257,16.3042500505355
online_132,144.1189754,44.17455323,15.260724670985901,15.829502722545516
online_133,144.21618896,44.198531,17.500133631629943,18.043679465675453
online_134,144.1578114,44.20873536,17.386190653719755,18.337780265506318
online_135,144.13656348,44.19695339,16.06774693761609,16.80659573824407
online_136,144.09200014,44.17960676,15.547902555529786,17.148946176818864
online_137,144.09818248,44.22185023,17.403410191743188,18.538080246971386
online_138,144.15513794,44.24741299,13.559567116358949,14.440226179908755
online_139,144.23788257,44.2858393,17.629085422455322,18.309635642520753
online_140,144.29345255,44.28548963,15.567860246137208,17.218817901662625
online_141,144.29614681,44.28375784,10.54749100143207,11.39016834500337
online_142,144.68393685,44.09283017,17.631480220734375,18.46943319652346
online_143,144.65151056,44.17087472,17.88869694293048,18.84392712625051
online_144,144.65871085,44.16186052,13.892065928997987,14.565814441609856
