id,ra_deg,dec_deg,V_mag,B_mag,raw_g,raw_r,raw_G,raw_BP,raw_RP
online_764,143.11215143,44.01905483,15.269896914022095,16.390694865193115,15.720000267028809,14.868000030517578,nan,nan,nan
online_765,143.17102675,44.02400461,13.87400650729053,14.515218194220214,14.095999717712402,13.692999839782715,nan,nan,nan
online_766,143.15663871,44.03160297,17.773979891222407,18.78712885586085,18.17300033569336,17.42099952697754,nan,nan,nan
online_767,142.97283053,43.93654659,16.69972560394823,17.68603757689358,17.086000442504883,16.358999252319336,nan,nan,nan
online_768,142.99724518,43.97461415,16.976377664477535,17.88556499880372,17.326000213623047,16.67099952697754,nan,nan,nan
online_769,143.04569068,43.97622746,15.392838626185425,16.164466874521242,15.677000045776367,15.151000022888184,nan,nan,nan
online_770,142.94689389,43.97254725,17.604933243371082,18.263067351148464,17.834999084472656,17.416000366210938,nan,nan,nan
online_771,142.95704992,43.99798194,17.30989597050098,17.97649791495508,17.54400062561035,17.117000579833984,nan,nan,nan
online_772,142.9528743,44.0135894,17.594171368472164,18.689088430658217,18.031999588012695,17.20400047302246,nan,nan,nan
online_773,143.01728865,44.05429739,17.0671841032854,17.77722511618311,17.32200050354004,16.854000091552734,nan,nan,nan
online_774,143.11287533,44.04486613,16.30288552129443,16.8333411705459,16.472000122070312,16.173999786376953,nan,nan,nan
online_775,143.07711131,44.04410516,16.236904698486324,16.901388890991225,16.469999313354492,16.045000076293945,nan,nan,nan
online_776,143.08187913,44.0829594,17.602947663162105,18.670936537079104,18.027999877929688,17.225000381469727,nan,nan,nan
online_777,143.16495542,44.08834,16.91376407324511,17.607902151361344,17.160999298095703,16.70800018310547,nan,nan,nan
online_778,143.15395394,44.13074447,13.752251791518066,14.328000117220217,13.942999839782715,13.60200023651123,nan,nan,nan
online_779,143.05109778,44.06795268,15.476348244806635,16.02048841639259,15.652000427246094,15.340999603271484,nan,nan,nan
online_780,143.06518334,44.08803209,13.546951331335935,14.299448251329595,13.821999549865723,13.314000129699707,nan,nan,nan
online_781,143.05501867,44.13202217,17.246837906243165,18.71643456959375,17.86199951171875,16.68899917602539,nan,nan,nan
online_782,143.10899409,44.14156709,16.466720464019776,17.051960866394044,16.66200065612793,16.312000274658203,nan,nan,nan
online_783,143.10953855,44.1350588,16.572291780102532,17.49217615964357,16.927000045776367,16.261999130249023,nan,nan,nan
online_784,143.09388689,44.11667176,12.688996078920777,13.171096022700441,12.835000038146973,12.583000183105469,nan,nan,nan
online_785,143.11894673,44.18706753,17.423553977618894,18.05313812325342,17.639999389648438,17.24799919128418,nan,nan,nan
online_786,143.75498356,43.46192552,15.347563233105467,15.975032988134771,15.562999725341797,15.17300033569336,nan,nan,nan
online_787,143.72710274,43.50561964,13.93243828009814,14.589514881148935,14.161999702453613,13.744000434875488,nan,nan,nan
online_788,143.72882021,43.47670475,14.08558829536938,14.706720061482919,14.29800033569336,13.913999557495117,nan,nan,nan
online_789,143.72901536,43.48079739,14.405341362855099,15.08359033794947,14.645000457763672,14.206999778747559,nan,nan,nan
online_790,143.76845123,43.47812846,16.91539528239795,17.67745642922266,17.19499969482422,16.67799949645996,nan,nan,nan
online_791,143.76055113,43.51962179,15.830237719177735,15.834371866942384,15.746999740600586,15.954999923706055,nan,nan,nan
online_792,143.68615836,43.4733476,13.986035684545408,14.723663997730473,14.253999710083008,13.760000228881836,nan,nan,nan
online_793,143.66371373,43.52150937,17.939204794268793,19.350871310510264,18.527000427246094,17.406999588012695,nan,nan,nan
online_794,143.66870597,43.5035225,16.316469412036124,17.06578114663088,16.59000015258789,16.084999084472656,nan,nan,nan
online_795,143.69474563,43.53467535,14.842859168301388,16.134720780828864,15.37399959564209,14.36400032043457,nan,nan,nan
online_796,143.69499973,43.53449646,14.850259814868652,16.149728966454102,15.385000228881836,14.368000030517578,nan,nan,nan
online_797,143.71079415,43.53984678,17.41349620743457,18.83935811003321,18.007999420166016,16.875,nan,nan,nan
online_798,143.86765353,43.59182126,14.43076178377185,15.003347953452394,14.619999885559082,14.281999588012695,nan,nan,nan
online_799,143.87270686,43.5677601,15.679395704181392,16.441455837425792,15.958999633789062,15.442000389099121,nan,nan,nan
online_800,143.88056064,43.6058717,16.419311444811523,17.10391496743262,16.66200065612793,16.218000411987305,nan,nan,nan
online_801,143.7949042,43.60639713,17.369273925198243,18.350220872137697,17.753000259399414,17.0310001373291,nan,nan,nan
online_802,143.8689228,43.6795793,15.859628631214722,16.47019722823218,16.066999435424805,15.692999839782715,nan,nan,nan
online_803,143.64234501,43.53119144,15.41052820970874,16.300472755387208,15.75100040435791,15.11400032043457,nan,nan,nan
online_804,143.65041547,43.52524472,15.668259199209714,16.363458484515142,15.916000366210938,15.461999893188477,nan,nan,nan
online_805,143.67901329,43.56079645,16.856003464428706,17.749153212133795,17.197999954223633,16.558000564575195,nan,nan,nan
online_806,143.6732876,43.57401106,17.43598306041211,18.928570591822268,18.062000274658203,16.868000030517578,nan,nan,nan
online_807,143.64771205,43.58093852,17.622358091497066,18.390797549916023,17.905000686645508,17.381999969482422,nan,nan,nan
online_808,143.71814239,43.62419992,17.638170821560546,19.085890504095705,18.243000030517578,17.09000015258789,nan,nan,nan
online_809,143.62644245,43.61560518,17.339187129142577,18.135282525772464,17.635000228881836,17.086000442504883,nan,nan,nan
online_810,143.58433149,43.59886137,17.457813163847167,18.309319808780277,17.780000686645508,17.179000854492188,nan,nan,nan
online_811,143.58525506,43.59824449,15.114571874827147,15.73992944675684,15.329000473022461,14.940999984741211,nan,nan,nan
online_812,143.61601264,43.62813544,14.08602637848584,14.319563019090332,14.11299991607666,14.098999977111816,nan,nan,nan
online_813,143.66193716,43.63012322,16.993944482116696,18.520509900512696,17.63599967956543,16.410999298095703,nan,nan,nan
online_814,143.67900805,43.6359302,16.394755167889382,16.96944771781011,16.584999084472656,16.2450008392334,nan,nan,nan
online_815,143.68171077,43.68142228,17.96712585449219,19.11275085449219,18.429000854492188,17.554000854492188,nan,nan,nan
online_816,143.67368278,43.67385227,15.822816141291987,16.506360957772472,16.065000534057617,15.621999740600586,nan,nan,nan
online_817,143.76137678,43.62564041,14.97914850812329,15.584438831226565,15.184000015258789,14.8149995803833,nan,nan,nan
online_818,143.78571358,43.67335896,8.858502457660034,9.500771940148683,9.081000328063965,8.677000045776367,nan,nan,nan
online_819,143.82768375,43.68404078,16.3577052355957,17.449391057739266,16.79400062561035,15.968999862670898,nan,nan,nan
online_820,143.77684697,43.69613929,16.72080302283887,17.69853193955176,17.10300064086914,16.384000778198242,nan,nan,nan
